x,Curve1
-0.38486,0.17177
-0.29811,0.10394
-0.27898,0.28118
-0.22231,0.07221
-0.20236,0.06018
-0.18241,0.05252
-0.10717,0.45405
-0.06123,0.5
-0.00185,0.00109
0.05464,0.61597
0.18448,0.73414
0.33029,0.8523
0.4641,0.95514
0.51001,0.95952
0.57388,0.97046
0.65771,0.97702
